yama_url,name,height,prefectures,bikou
https://yamap.com/mountains/104,宮之浦岳,1936m,鹿児島,"日本百名山,九州百名山,都道府県最高峰"
https://yamap.com/mountains/5089,黒味岳,1827m,鹿児島,九州百名山
https://yamap.com/mountains/187,久住山,1786m,大分,"日本百名山,九州百名山"
https://yamap.com/mountains/6,大船山,1786m,大分,"日本三百名山,九州百名山"
https://yamap.com/mountains/5,祖母山,1756m,大分,"日本百名山,九州百名山,都道府県最高峰"
https://yamap.com/mountains/14703,三俣山（大分県）,1744m,大分,九州百名山
https://yamap.com/mountains/4331,国見岳,1738m,熊本,"都道府県最高峰,九州百名山"
https://yamap.com/mountains/7203,市房山,1720m,熊本,"九州百名山,日本二百名山"
https://yamap.com/mountains/11850,障子岳（宮崎県）,1705m,大分,九州百名山
https://yamap.com/mountains/188,韓国岳,1700m,宮崎,"日本百名山,九州百名山"
https://yamap.com/mountains/8,大崩山,1643m,宮崎,"日本二百名山,九州百名山"
https://yamap.com/mountains/1883,古祖母山,1633m,大分,九州百名山
https://yamap.com/mountains/2011,傾山（大分県）,1602m,大分,九州百名山
https://yamap.com/mountains/50,高岳（阿蘇山）,1592m,熊本,"日本百名山,九州百名山"
https://yamap.com/mountains/97,由布岳,1583m,大分,"日本二百名山,九州百名山"
https://yamap.com/mountains/11078,高千穂峰（霧島山）,1574m,宮崎,九州百名山
https://yamap.com/mountains/7,涌蓋山,1499m,大分,"日本三百名山,九州百名山"
https://yamap.com/mountains/3,根子岳,1408m,熊本,九州百名山
https://yamap.com/mountains/11392,尾鈴山,1405m,宮崎,九州百名山
https://yamap.com/mountains/15482,鶴見岳,1374m,大分,九州百名山
https://yamap.com/mountains/14080,白鳥山（宮崎県）,1363m,宮崎,九州百名山
https://yamap.com/mountains/93,雲仙岳,1359m,長崎,"日本二百名山,九州百名山,都道府県最高峰"
